path,criticality,total_lines,ai_lines,automation_lines
packages/domain-core/src/document-correction-workflow.ts,CROWN_JEWEL,164,164,0
packages/domain-core/src/provider-compliance-gates.ts,CROWN_JEWEL,164,164,0
scripts/ip/verify-qwen-immutability.test.mjs,STANDARD,164,164,0
apps/web/tests/unit/taiRollbackVerificationContract.test.ts,STANDARD,163,163,0
apps/api/prisma/migrations/20260816020000_pc_crop_regulatory_rule_registry/migration.sql,STANDARD,162,162,0
apps/web/app/platform-v7/accounting/accounting.module.css,STANDARD,161,161,0
apps/web/components/role-home-strip.tsx,STANDARD,161,161,0
apps/web/lib/commercial-route-guards.ts,STANDARD,161,161,0
docs/ops/pc-crop-federal-accounting/governance-blocker.md,STANDARD,161,161,0
apps/api/src/modules/accounting/work-task.deriver.ts,CROWN_JEWEL,160,160,0
apps/api/test/e2e-deal-cycle.spec.ts,STANDARD,160,160,0
scripts/tai-public-assessment-contract.mjs,STANDARD,159,159,0
packages/integration-sdk/src/adapters/marine.adapter.ts,CROWN_JEWEL,158,158,0
scripts/ip/contributor-rights.test.mjs,STANDARD,158,158,0
docs/ops/pc-crop-federal-accounting/risk-register.md,STANDARD,156,156,0
apps/web/lib/gekta/phone.ts,CROWN_JEWEL,155,155,0
packages/integration-sdk/src/adapters/takskom.adapter.ts,CROWN_JEWEL,155,155,0
apps/api/src/modules/certificate-monitor/certificate-monitor.service.ts,STANDARD,154,154,0
apps/api/src/modules/regulatory-integration/fgis-grain/fgis-grain-legacy-quarantine.ts,STANDARD,153,153,0
codeql/insufficient-password-hash-corrected/tests/positive/passwordFlows.js,STANDARD,152,152,0
apps/web/app/api/platform-v7/accounting/[[...path]]/route.ts,STANDARD,151,151,0
apps/api/src/modules/accounting/connection-center.repository.ts,CROWN_JEWEL,150,150,0
apps/web/lib/lot-disclosure.ts,STANDARD,150,150,0
apps/api/prisma/migrations/20260816220000_pc_crop_document_transmission_receipt/migration.sql,STANDARD,148,148,0
apps/api/src/modules/accounting/document-transport.contract.spec.ts,CROWN_JEWEL,148,148,0
apps/api/src/modules/saga/fgis-step.service.ts,STANDARD,148,148,0
apps/web/components/journey-focus-panel.tsx,STANDARD,148,148,0
apps/web/lib/surface-registry.ts,STANDARD,148,148,0
apps/web/lib/v9/roles.ts,STANDARD,145,145,0
apps/web/tests/unit/platformV7AccountingBffBoundary.test.ts,STANDARD,143,143,0
infra/nginx/modsecurity-grainflow.conf,STANDARD,142,142,0
infra/prometheus/runtime-alert-rules.yml,STANDARD,142,142,0
apps/api/src/modules/accounting/document-transport.contract.ts,CROWN_JEWEL,141,141,0
apps/web/components/v9/layout/RoleSwitcher.tsx,STANDARD,141,141,0
scripts/ip/deminimis-adjudication.test.mjs,STANDARD,140,140,0
apps/tai/tests/test_qwen_preview_control_package_checksum.py,STANDARD,139,139,0
